day,hour,trip_count
monday,0,9
monday,1,11
monday,2,11
monday,3,0
monday,4,0
monday,5,0
monday,6,1
monday,7,0
monday,8,0
monday,9,2
monday,10,5
monday,11,4
monday,12,8
monday,13,5
monday,14,6
monday,15,4
monday,16,4
monday,17,4
monday,18,5
monday,19,9
monday,20,5
monday,21,8
monday,22,5
monday,23,0
sunday,0,64
sunday,1,54
sunday,2,38
sunday,3,5
sunday,4,0
sunday,5,0
sunday,6,0
sunday,7,0
sunday,8,0
sunday,9,3
sunday,10,5
sunday,11,3
sunday,12,0
sunday,13,0
sunday,14,3
sunday,15,4
sunday,16,3
sunday,17,2
sunday,18,5
sunday,19,5
sunday,20,3
sunday,21,8
sunday,22,16
sunday,23,38
saturday,0,33
saturday,1,34
saturday,2,17
saturday,3,0
saturday,4,0
saturday,5,0
saturday,6,0
saturday,7,1
saturday,8,6
saturday,9,32
saturday,10,50
saturday,11,9
saturday,12,11
saturday,13,21
saturday,14,42
saturday,15,41
saturday,16,25
saturday,17,44
saturday,18,63
saturday,19,53
saturday,20,48
saturday,21,93
saturday,22,133
saturday,23,134
friday,0,18
friday,1,11
friday,2,3
friday,3,0
friday,4,0
friday,5,0
friday,6,0
friday,7,0
friday,8,0
friday,9,5
friday,10,9
friday,11,2
friday,12,3
friday,13,9
friday,14,18
friday,15,20
friday,16,17
friday,17,24
friday,18,22
friday,19,36
friday,20,25
friday,21,43
friday,22,82
friday,23,86
thursday,0,1
thursday,1,0
thursday,2,0
thursday,3,0
thursday,4,0
thursday,5,0
thursday,6,0
thursday,7,0
thursday,8,0
thursday,9,0
thursday,10,1
thursday,11,0
thursday,12,0
thursday,13,1
thursday,14,1
thursday,15,0
thursday,16,2
thursday,17,3
thursday,18,17
thursday,19,29
thursday,20,28
thursday,21,74
thursday,22,68
thursday,23,33
wednesday,0,1
wednesday,1,0
wednesday,2,0
wednesday,3,0
wednesday,4,0
wednesday,5,0
wednesday,6,0
wednesday,7,0
wednesday,8,0
wednesday,9,0
wednesday,10,0
wednesday,11,0
wednesday,12,0
wednesday,13,0
wednesday,14,0
wednesday,15,0
wednesday,16,1
wednesday,17,2
wednesday,18,0
wednesday,19,2
wednesday,20,10
wednesday,21,6
wednesday,22,3
wednesday,23,0
tuesday,0,0
tuesday,1,0
tuesday,2,0
tuesday,3,0
tuesday,4,0
tuesday,5,0
tuesday,6,0
tuesday,7,0
tuesday,8,0
tuesday,9,0
tuesday,10,0
tuesday,11,0
tuesday,12,0
tuesday,13,0
tuesday,14,0
tuesday,15,0
tuesday,16,0
tuesday,17,0
tuesday,18,1
tuesday,19,4
tuesday,20,0
tuesday,21,8
tuesday,22,14
tuesday,23,2
